Date,exalus,exbzus,excaus,exchus,exdnus,exhkus,exinus,exjpus,exkous,exmaus,exmxus,exnzus,exnous,exsius,exsfus,exslus,exsdus,exszus,extaus,exthus,exukus,exvzus,exeuus
4-May,1.4207 ,3.1023 ,1.3789 ,8.2771 ,6.2021 ,7.7971 ,45.1800 ,112.2000 ,1177.8800 ,3.8000 ,11.5200 ,1.6258 ,6.8428 ,1.7124 ,6.7996 ,98.9290 ,7.6097 ,1.2839 ,33.4440 ,40.5600 ,0.5599 ,1.9200 ,0.8333 
4-Jun,1.4415 ,3.1293 ,1.3578 ,8.2767 ,6.1220 ,7.7980 ,45.5000 ,109.4300 ,1159.0200 ,3.8000 ,11.3930 ,1.5913 ,6.8279 ,1.7136 ,6.4216 ,100.9300 ,7.5323 ,1.2503 ,33.5680 ,40.8270 ,0.5471 ,1.9200 ,0.8233 
4-Jul,1.3965 ,3.0384 ,1.3225 ,8.2767 ,6.0631 ,7.8000 ,46.0600 ,109.4900 ,1158.7000 ,3.8000 ,11.4680 ,1.5463 ,6.9126 ,1.7121 ,6.1350 ,102.9980 ,7.5027 ,1.2452 ,33.8060 ,40.9820 ,0.5424 ,1.9200 ,0.8153 
4-Aug,1.4063 ,3.0018 ,1.3127 ,8.2768 ,6.1007 ,7.7997 ,46.3200 ,110.2300 ,1158.0300 ,3.8000 ,11.3950 ,1.5242 ,6.8369 ,1.7145 ,6.4667 ,103.4360 ,7.5362 ,1.2623 ,34.0230 ,41.5210 ,0.5494 ,1.9200 ,0.8203 
4-Sep,1.4229 ,2.8914 ,1.2881 ,8.2767 ,6.0866 ,7.7995 ,46.0500 ,110.0900 ,1148.7200 ,3.8000 ,11.4870 ,1.5165 ,6.8416 ,1.6948 ,6.5349 ,103.3260 ,7.4356 ,1.2629 ,33.8930 ,41.4740 ,0.5575 ,1.9200 ,0.8181 
4-Oct,1.3630 ,2.8520 ,1.2469 ,8.2765 ,5.9486 ,7.7889 ,45.7400 ,108.7800 ,1141.5700 ,3.8000 ,11.4040 ,1.4607 ,6.5809 ,1.6767 ,6.3815 ,103.8850 ,7.2453 ,1.2330 ,33.7750 ,41.2940 ,0.5532 ,1.9200 ,0.7996 
4-Nov,1.2980 ,2.7877 ,1.1968 ,8.2765 ,5.7178 ,7.7755 ,45.0300 ,104.7000 ,1086.4400 ,3.8000 ,11.3710 ,1.4267 ,6.2700 ,1.6505 ,6.0305 ,104.6320 ,6.9257 ,1.1711 ,32.7770 ,40.2820 ,0.5374 ,1.9200 ,0.7694 
4-Dec,1.3029 ,2.7150 ,1.2189 ,8.2765 ,5.5449 ,7.7760 ,43.8500 ,103.8100 ,1050.3700 ,3.8000 ,11.2010 ,1.3988 ,6.1355 ,1.6402 ,5.7235 ,104.7480 ,6.6969 ,1.1465 ,32.1700 ,39.1840 ,0.5185 ,1.9200 ,0.7459 
5-Jan,1.3041 ,2.6895 ,1.2248 ,8.2765 ,5.6699 ,7.7948 ,43.6200 ,103.3400 ,1037.9800 ,3.8000 ,11.2630 ,1.4154 ,6.2672 ,1.6377 ,5.9587 ,98.9290 ,6.8991 ,1.1792 ,31.8470 ,38.7390 ,0.5320 ,1.9200 ,0.7620 
5-Feb,1.2801 ,2.5971 ,1.2401 ,8.2765 ,5.7195 ,7.7994 ,43.5800 ,104.9400 ,1023.1100 ,3.8000 ,11.1370 ,1.3976 ,6.3960 ,1.6381 ,6.0001 ,99.2730 ,6.9800 ,1.1918 ,31.4980 ,38.4460 ,0.5299 ,1.9200 ,0.7685 
